Iteration,Confidence Score,x_min,y_min,x_max,y_max,Label
505,0.45447215,128,333,395,503,car
506,0.3,136,334,416,508,car
507,0.3,145,336,438,514,car
508,0.45956123,154,338,460,520,car
509,0.3,165,336,486,526,car
510,0.3,177,334,513,532,car
511,0.45859116,189,333,540,539,car
512,0.3,202,333,573,547,car
513,0.3,216,333,606,556,car
514,0.46368712,230,334,640,565,car
515,0.3,245,333,681,575,car
516,0.45181018,261,332,722,586,car
517,0.4506011,281,331,767,598,car
518,0.3,276,329,746,588,car
519,0.3,271,328,726,578,car
520,0.3,266,327,705,568,car
521,0.3,261,325,685,559,car
522,0.3,257,324,664,549,car
523,0.3,252,323,644,539,car
524,0.3,247,321,623,529,car
525,0.3,242,320,603,520,car
526,0.3,237,319,582,510,car
527,0.3,233,318,562,500,car
528,0.3,228,316,541,490,car
529,0.3,223,315,521,481,car
530,0.3,218,314,500,471,car
531,0.3,213,312,480,461,car
532,0.3,209,311,459,451,car
533,0.3,204,310,439,442,car
534,0.3,199,308,418,432,car
535,0.3,194,307,398,422,car
536,0.3,189,306,377,412,car
537,0.45519865,185,305,357,403,car
538,0.53728414,193,305,368,403,car
539,0.55084896,201,304,380,404,car
540,0.5448014,209,302,395,404,car
541,0.55229825,218,303,410,405,car
542,0.52000886,229,303,426,408,car
543,0.54891527,238,302,443,407,car
544,0.52962834,248,301,459,408,car
545,0.55278116,259,300,477,411,car
546,0.5474641,270,299,496,414,car
547,0.54383254,282,300,515,412,car
548,0.5389832,295,299,537,414,car
549,0.53315437,308,298,558,418,car
550,0.54383254,322,298,581,423,car
551,0.50768983,336,298,607,426,car
552,0.53801244,351,298,634,430,car
553,0.5397111,367,298,661,433,car
554,0.5387406,384,296,690,438,car
555,0.4926763,402,296,720,441,car
556,0.52000886,423,295,753,442,car
557,0.5043639,444,295,787,447,car
558,0.4970246,466,295,821,453,car
559,0.5046691,489,297,859,460,car
560,0.5122656,514,296,898,465,car
561,0.5211056,539,299,938,470,car
562,0.53509843,566,298,981,478,car
563,0.48767337,595,299,1024,478,car
564,0.5057981,627,301,1068,490,car
565,0.5097644,660,303,1115,495,car
566,0.4950563,694,305,1158,503,car
567,0.49794006,730,305,1205,519,car
568,0.49925998,771,310,1253,528,car
569,0.47536173,812,314,1301,537,car
570,0.47329202,855,318,1349,547,car
571,0.4632014,900,320,1397,558,car
572,0.45931864,946,327,1431,571,car
573,0.45398796,995,332,1431,581,car
574,0.47353554,1047,340,1432,565,car
575,0.50695753,1098,347,1432,556,car
576,0.48669744,1150,352,1431,559,car
577,0.3,1202,359,1431,565,car
578,0.4571367,1254,367,1432,572,car
579,0.3,1234,365,1412,569,car
580,0.3,1214,364,1393,567,car
581,0.3,1194,363,1374,565,car
582,0.3,1174,361,1354,563,car
583,0.3,1155,360,1335,561,car
584,0.3,1135,359,1316,559,car
585,0.3,1115,357,1296,557,car
586,0.3,1095,356,1277,555,car
587,0.3,1075,355,1258,553,car
588,0.3,1056,353,1238,551,car
589,0.3,1036,352,1219,549,car
590,0.3,1016,351,1200,547,car
591,0.3,996,349,1181,545,car
592,0.3,976,348,1161,543,car
593,0.3,957,347,1142,541,car
594,0.3,937,345,1123,539,car
595,0.3,917,344,1103,537,car
596,0.3,897,343,1084,535,car
597,0.3,877,341,1065,533,car
598,0.3,858,340,1045,531,car
599,0.3,838,339,1026,529,car
600,0.3,818,338,1007,527,car
601,0.3,798,336,988,525,car
602,0.3,778,335,968,523,car
603,0.3,759,334,949,521,car
604,0.3,739,332,930,519,car
605,0.3,719,331,910,517,car
606,0.3,699,330,891,515,car
607,0.3,679,328,872,513,car
608,0.3,660,327,852,511,car
609,0.3,640,326,833,509,car
610,0.3,620,324,814,506,car
611,0.3,600,323,795,504,car
612,0.3,581,322,775,502,car
613,0.3,561,320,756,500,car
614,0.3,541,319,737,498,car
615,0.3,521,318,717,496,car
616,0.3,501,316,698,494,car
617,0.3,482,315,679,492,car
618,0.3,462,314,659,490,car
619,0.3,442,312,640,488,car
620,0.3,422,311,621,486,car
621,0.3,402,310,602,484,car
622,0.3,383,309,582,482,car
623,0.3,363,307,563,480,car
624,0.3,343,306,544,478,car
625,0.3,323,305,524,476,car
626,0.3,303,303,505,474,car
627,0.3,284,302,486,472,car
628,0.3,264,301,466,470,car
629,0.3,244,299,447,468,car
630,0.3,224,298,428,466,car
631,0.3,204,297,409,464,car
632,0.3,185,295,389,462,car
633,0.3,165,294,370,460,car
634,0.3,145,293,351,458,car
635,0.3,125,291,331,456,car
636,0.3,105,290,312,454,car
637,0.3,86,289,293,452,car
638,0.3,66,287,273,450,car
639,0.3,46,286,254,448,car
640,0.3,26,285,235,446,car
641,0.48803937,7,284,216,444,truck
642,0.3,7,282,224,446,truck
643,0.3,8,281,233,448,truck
644,0.3,9,280,241,451,truck
645,0.3,10,278,250,453,truck
646,0.3,11,277,258,455,truck
647,0.4622303,12,276,267,458,truck
648,0.4882224,10,272,275,459,truck
649,0.50744575,15,273,286,465,truck
650,0.4797474,21,272,296,466,truck
651,0.46733177,24,271,305,470,truck
652,0.47706684,29,270,316,470,truck
653,0.47110158,34,269,326,471,truck
654,0.48700243,35,267,338,472,truck
655,0.45447215,39,263,351,474,truck
656,0.4690338,41,261,364,477,truck
657,0.3,46,259,378,481,truck
658,0.3,51,258,393,486,truck
659,0.45931864,56,257,408,491,truck
660,0.3,61,255,425,495,truck
661,0.47438765,67,253,442,499,truck
662,0.4901746,71,249,457,503,truck
663,0.4581063,80,246,478,506,truck
664,0.3,85,245,500,510,truck
665,0.3,90,244,523,515,truck
666,0.3,95,243,545,519,truck
667,0.3,100,242,568,524,truck
668,0.49090677,105,241,591,529,truck
669,0.3,113,239,616,535,truck
670,0.46247303,121,237,642,542,truck
671,0.3,122,238,638,541,truck
672,0.3,123,240,634,540,truck
673,0.3,124,242,631,539,truck
674,0.3,125,244,627,538,truck
675,0.3,127,246,623,537,truck
676,0.3,128,248,620,536,truck
677,0.3,129,250,616,535,truck
678,0.3,130,252,613,534,truck
679,0.3,132,254,609,533,truck
680,0.3,133,256,605,532,truck
681,0.3,134,258,602,531,truck
682,0.3,135,260,598,530,truck
683,0.3,136,262,595,530,truck
684,0.3,138,264,591,529,truck
685,0.3,139,266,587,528,truck
686,0.3,140,268,584,527,truck
687,0.3,141,270,580,526,truck
688,0.3,143,272,576,525,truck
689,0.3,144,274,573,524,truck
690,0.3,145,276,569,523,truck
691,0.3,146,278,566,522,truck
692,0.3,147,280,562,521,truck
693,0.3,149,282,558,520,truck
694,0.3,150,284,555,519,truck
695,0.3,151,285,551,519,truck
696,0.3,152,287,548,518,truck
697,0.3,154,289,544,517,truck
698,0.3,155,291,540,516,truck
699,0.3,156,293,537,515,truck
700,0.3,157,295,533,514,truck
701,0.3,158,297,530,513,truck
702,0.3,160,299,526,512,truck
703,0.3,161,301,522,511,truck
704,0.3,162,303,519,510,truck
705,0.3,163,305,515,509,truck
706,0.3,165,307,511,508,truck
707,0.3,166,309,508,508,truck
708,0.3,167,311,504,507,truck
709,0.3,168,313,501,506,truck
710,0.3,169,315,497,505,truck
711,0.3,171,317,493,504,truck
712,0.3,172,319,490,503,truck
713,0.3,173,321,486,502,truck
714,0.3,174,323,483,501,truck
715,0.3,176,325,479,500,truck
716,0.3,177,327,475,499,truck
717,0.3,178,329,472,498,truck
718,0.3,179,331,468,497,truck
719,0.46915543,181,333,465,497,car
720,0.3,190,333,484,501,car
721,0.3,199,333,503,506,car
722,0.3,208,333,522,510,car
723,0.45640978,217,334,541,515,car
724,0.4549564,228,333,565,521,car
725,0.46563044,240,333,583,525,car
726,0.47511825,253,332,610,531,car
727,0.46392995,265,332,638,537,car
728,0.477676,277,333,669,545,car
729,0.45883366,292,332,698,554,car
730,0.48590457,307,332,731,562,car
731,0.48023492,323,330,764,570,car
732,0.4602889,338,329,802,578,car
733,0.48742944,356,332,856,589,car
734,0.4807224,375,331,880,600,car
735,0.48810035,395,335,922,612,car
736,0.4912119,417,340,967,621,car
737,0.45859116,443,338,1012,631,car
738,0.3,468,338,1060,644,car
739,0.45665208,494,339,1108,657,car
740,0.3,472,339,1062,646,car
741,0.3,450,339,1017,636,car
742,0.3,428,339,972,626,car
743,0.3,406,340,926,615,car
744,0.3,384,340,881,605,car
745,0.3,363,340,836,595,car
746,0.3,341,341,790,584,car
747,0.3,319,341,745,574,car
748,0.3,297,341,700,564,car
749,0.3,275,341,655,554,car
750,0.3,253,342,609,543,car
751,0.3,232,342,564,533,car
752,0.3,210,342,519,523,car
753,0.3,188,343,473,512,car
754,0.3,166,343,428,502,car
755,0.3,144,343,383,492,car
756,0.48181957,123,344,338,482,car
757,0.4666025,130,345,352,485,car
758,0.3,137,345,366,488,car
759,0.4824291,144,346,380,491,car
760,0.47597066,150,347,395,496,car
761,0.5019989,157,349,407,499,car
762,0.5014496,166,349,426,503,car
763,0.5176928,174,349,444,507,car
764,0.4663595,184,351,464,512,car
765,0.5007553,192,350,482,516,car
766,0.4953004,202,349,503,521,car
767,0.49395782,212,351,524,527,car
768,0.5295067,224,348,549,533,car
769,0.48505086,235,348,574,539,car
770,0.48797837,246,347,599,546,car
771,0.50506574,259,351,627,553,car
772,0.49108985,272,355,655,560,car
773,0.49966618,285,349,687,568,car
774,0.47791964,301,351,719,576,car
775,0.47317034,316,356,755,586,car
776,0.4827949,334,356,791,595,car
777,0.49658206,351,360,831,608,car
778,0.50382984,370,361,870,619,car
779,0.47950366,392,362,913,631,car
780,0.491639,415,362,957,644,car
781,0.49108985,438,370,1003,655,car
782,0.47341377,463,372,1051,669,car
783,0.46441576,492,370,1100,683,car
784,0.47682324,522,381,1150,696,car
785,0.47682324,555,384,1205,712,car
786,0.47791964,588,387,1253,728,car
787,0.45907614,623,390,1305,743,car
788,0.47061494,662,393,1354,759,car
789,0.48755136,706,401,1415,772,car
790,0.45689437,750,405,1431,789,car
791,0.4508429,796,412,1430,803,car
792,0.3,847,422,1430,792,car
793,0.4622303,898,432,1431,782,car
794,0.3,838,422,1345,758,car
795,0.3,779,412,1259,735,car
796,0.3,719,402,1174,712,car
797,0.3,660,392,1088,689,car
798,0.3,600,382,1003,666,car
