Iteration,Label,Confidence Score,x_min,y_min,x_max,y_max
1,n/a,n/a,0,0,0,0
2,n/a,n/a,0,0,0,0
3,n/a,n/a,0,0,0,0
4,n/a,n/a,0,0,0,0
5,n/a,n/a,0,0,0,0
6,n/a,n/a,0,0,0,0
7,n/a,n/a,0,0,0,0
8,n/a,n/a,0,0,0,0
9,n/a,n/a,0,0,0,0
10,n/a,n/a,0,0,0,0
11,n/a,n/a,0,0,0,0
12,n/a,n/a,0,0,0,0
13,n/a,n/a,0,0,0,0
14,n/a,n/a,0,0,0,0
15,n/a,n/a,0,0,0,0
16,n/a,n/a,0,0,0,0
17,n/a,n/a,0,0,0,0
18,n/a,n/a,0,0,0,0
19,n/a,n/a,0,0,0,0
20,n/a,n/a,0,0,0,0
21,n/a,n/a,0,0,0,0
22,n/a,n/a,0,0,0,0
23,n/a,n/a,0,0,0,0
24,n/a,n/a,0,0,0,0
25,n/a,n/a,0,0,0,0
26,n/a,n/a,0,0,0,0
27,n/a,n/a,0,0,0,0
28,n/a,n/a,0,0,0,0
29,n/a,n/a,0,0,0,0
30,n/a,n/a,0,0,0,0
31,n/a,n/a,0,0,0,0
32,n/a,n/a,0,0,0,0
33,n/a,n/a,0,0,0,0
34,n/a,n/a,0,0,0,0
35,n/a,n/a,0,0,0,0
36,n/a,n/a,0,0,0,0
37,n/a,n/a,0,0,0,0
38,n/a,n/a,0,0,0,0
39,n/a,n/a,0,0,0,0
40,n/a,n/a,0,0,0,0
41,n/a,n/a,0,0,0,0
42,n/a,n/a,0,0,0,0
43,n/a,n/a,0,0,0,0
44,n/a,n/a,0,0,0,0
45,n/a,n/a,0,0,0,0
46,n/a,n/a,0,0,0,0
47,n/a,n/a,0,0,0,0
48,n/a,n/a,0,0,0,0
49,n/a,n/a,0,0,0,0
50,n/a,n/a,0,0,0,0
51,n/a,n/a,0,0,0,0
52,n/a,n/a,0,0,0,0
53,n/a,n/a,0,0,0,0
54,n/a,n/a,0,0,0,0
55,n/a,n/a,0,0,0,0
56,n/a,n/a,0,0,0,0
57,n/a,n/a,0,0,0,0
58,n/a,n/a,0,0,0,0
59,n/a,n/a,0,0,0,0
60,n/a,n/a,0,0,0,0
61,n/a,n/a,0,0,0,0
62,n/a,n/a,0,0,0,0
63,n/a,n/a,0,0,0,0
64,n/a,n/a,0,0,0,0
65,n/a,n/a,0,0,0,0
66,n/a,n/a,0,0,0,0
67,n/a,n/a,0,0,0,0
68,n/a,n/a,0,0,0,0
69,n/a,n/a,0,0,0,0
70,n/a,n/a,0,0,0,0
71,n/a,n/a,0,0,0,0
72,n/a,n/a,0,0,0,0
73,n/a,n/a,0,0,0,0
74,n/a,n/a,0,0,0,0
75,n/a,n/a,0,0,0,0
76,n/a,n/a,0,0,0,0
77,n/a,n/a,0,0,0,0
78,n/a,n/a,0,0,0,0
79,n/a,n/a,0,0,0,0
80,n/a,n/a,0,0,0,0
81,n/a,n/a,0,0,0,0
82,n/a,n/a,0,0,0,0
83,n/a,n/a,0,0,0,0
84,n/a,n/a,0,0,0,0
85,n/a,n/a,0,0,0,0
86,n/a,n/a,0,0,0,0
87,n/a,n/a,0,0,0,0
88,n/a,n/a,0,0,0,0
89,n/a,n/a,0,0,0,0
90,n/a,n/a,0,0,0,0
91,n/a,n/a,0,0,0,0
92,n/a,n/a,0,0,0,0
93,n/a,n/a,0,0,0,0
94,n/a,n/a,0,0,0,0
95,n/a,n/a,0,0,0,0
96,n/a,n/a,0,0,0,0
97,n/a,n/a,0,0,0,0
98,n/a,n/a,0,0,0,0
99,n/a,n/a,0,0,0,0
100,n/a,n/a,0,0,0,0
101,n/a,n/a,0,0,0,0
102,n/a,n/a,0,0,0,0
103,n/a,n/a,0,0,0,0
104,n/a,n/a,0,0,0,0
105,n/a,n/a,0,0,0,0
106,n/a,n/a,0,0,0,0
107,n/a,n/a,0,0,0,0
108,n/a,n/a,0,0,0,0
109,n/a,n/a,0,0,0,0
110,n/a,n/a,0,0,0,0
111,n/a,n/a,0,0,0,0
112,n/a,n/a,0,0,0,0
113,n/a,n/a,0,0,0,0
114,n/a,n/a,0,0,0,0
115,n/a,n/a,0,0,0,0
116,n/a,n/a,0,0,0,0
117,n/a,n/a,0,0,0,0
118,n/a,n/a,0,0,0,0
119,n/a,n/a,0,0,0,0
120,n/a,n/a,0,0,0,0
121,n/a,n/a,0,0,0,0
122,n/a,n/a,0,0,0,0
123,n/a,n/a,0,0,0,0
124,n/a,n/a,0,0,0,0
125,n/a,n/a,0,0,0,0
126,n/a,n/a,0,0,0,0
127,n/a,n/a,0,0,0,0
128,n/a,n/a,0,0,0,0
129,n/a,n/a,0,0,0,0
130,n/a,n/a,0,0,0,0
131,n/a,n/a,0,0,0,0
132,n/a,n/a,0,0,0,0
133,n/a,n/a,0,0,0,0
134,n/a,n/a,0,0,0,0
135,n/a,n/a,0,0,0,0
136,n/a,n/a,0,0,0,0
137,n/a,n/a,0,0,0,0
138,n/a,n/a,0,0,0,0
139,n/a,n/a,0,0,0,0
140,n/a,n/a,0,0,0,0
141,n/a,n/a,0,0,0,0
142,n/a,n/a,0,0,0,0
143,n/a,n/a,0,0,0,0
144,n/a,n/a,0,0,0,0
145,n/a,n/a,0,0,0,0
146,n/a,n/a,0,0,0,0
147,n/a,n/a,0,0,0,0
148,n/a,n/a,0,0,0,0
149,n/a,n/a,0,0,0,0
150,n/a,n/a,0,0,0,0
151,n/a,n/a,0,0,0,0
152,n/a,n/a,0,0,0,0
153,n/a,n/a,0,0,0,0
154,n/a,n/a,0,0,0,0
155,n/a,n/a,0,0,0,0
156,n/a,n/a,0,0,0,0
157,n/a,n/a,0,0,0,0
158,n/a,n/a,0,0,0,0
159,n/a,n/a,0,0,0,0
160,n/a,n/a,0,0,0,0
161,n/a,n/a,0,0,0,0
162,n/a,n/a,0,0,0,0
163,n/a,n/a,0,0,0,0
164,n/a,n/a,0,0,0,0
165,n/a,n/a,0,0,0,0
166,n/a,n/a,0,0,0,0
167,n/a,n/a,0,0,0,0
168,n/a,n/a,0,0,0,0
169,n/a,n/a,0,0,0,0
170,n/a,n/a,0,0,0,0
171,n/a,n/a,0,0,0,0
172,n/a,n/a,0,0,0,0
173,n/a,n/a,0,0,0,0
174,n/a,n/a,0,0,0,0
175,n/a,n/a,0,0,0,0
176,n/a,n/a,0,0,0,0
177,n/a,n/a,0,0,0,0
178,n/a,n/a,0,0,0,0
179,n/a,n/a,0,0,0,0
180,n/a,n/a,0,0,0,0
181,n/a,n/a,0,0,0,0
182,n/a,n/a,0,0,0,0
183,n/a,n/a,0,0,0,0
184,n/a,n/a,0,0,0,0
185,n/a,n/a,0,0,0,0
186,n/a,n/a,0,0,0,0
187,n/a,n/a,0,0,0,0
188,n/a,n/a,0,0,0,0
189,n/a,n/a,0,0,0,0
190,n/a,n/a,0,0,0,0
191,n/a,n/a,0,0,0,0
192,n/a,n/a,0,0,0,0
193,n/a,n/a,0,0,0,0
194,n/a,n/a,0,0,0,0
195,n/a,n/a,0,0,0,0
196,n/a,n/a,0,0,0,0
197,n/a,n/a,0,0,0,0
198,n/a,n/a,0,0,0,0
199,n/a,n/a,0,0,0,0
200,n/a,n/a,0,0,0,0
201,n/a,n/a,0,0,0,0
202,n/a,n/a,0,0,0,0
