frame,labels,scores,boxes
1,['motorcycle'],[0.9352582693099976],"[[518, 273, 549, 317]]"
2,['motorcycle'],[0.9312520027160645],"[[518, 273, 549, 317]]"
3,['motorcycle'],[0.8473859429359436],"[[517, 273, 549, 318]]"
4,['motorcycle'],[0.795390248298645],"[[517, 274, 549, 318]]"
5,['motorcycle'],[0.7841203808784485],"[[517, 274, 549, 318]]"
6,['motorcycle'],[0.8468101024627686],"[[517, 274, 549, 318]]"
7,[],[],[]
8,[],[],[]
9,[],[],[]
10,[],[],[]
11,[],[],[]
12,[],[],[]
13,[],[],[]
14,[],[],[]
15,[],[],[]
16,[],[],[]
17,[],[],[]
18,['motorcycle'],[0.8713834881782532],"[[515, 273, 548, 318]]"
19,['motorcycle'],[0.7850242257118225],"[[515, 273, 548, 318]]"
20,['motorcycle'],[0.7843858003616333],"[[516, 271, 548, 318]]"
21,[],[],[]
22,[],[],[]
23,[],[],[]
24,[],[],[]
25,[],[],[]
26,[],[],[]
27,[],[],[]
28,[],[],[]
29,[],[],[]
30,[],[],[]
31,[],[],[]
32,[],[],[]
33,[],[],[]
34,[],[],[]
35,[],[],[]
36,[],[],[]
37,[],[],[]
38,[],[],[]
39,[],[],[]
40,[],[],[]
41,[],[],[]
42,[],[],[]
43,[],[],[]
44,[],[],[]
45,[],[],[]
46,[],[],[]
47,[],[],[]
48,[],[],[]
49,[],[],[]
50,[],[],[]
51,[],[],[]
52,[],[],[]
53,[],[],[]
54,[],[],[]
55,[],[],[]
56,['car'],[0.8598507642745972],"[[320, 240, 408, 303]]"
57,['car'],[0.7909048199653625],"[[317, 239, 406, 304]]"
58,['car'],[0.7485747933387756],"[[317, 239, 402, 303]]"
59,['car'],[0.7563672065734863],"[[316, 239, 403, 303]]"
60,[],[],[]
61,[],[],[]
62,[],[],[]
63,[],[],[]
64,['motorcycle'],[0.826220691204071],"[[517, 275, 548, 317]]"
65,[],[],[]
66,[],[],[]
67,[],[],[]
68,[],[],[]
69,[],[],[]
70,[],[],[]
71,[],[],[]
72,[],[],[]
73,[],[],[]
74,[],[],[]
75,[],[],[]
76,[],[],[]
77,[],[],[]
78,[],[],[]
79,[],[],[]
80,['motorcycle'],[0.8712679743766785],"[[518, 275, 548, 317]]"
81,['motorcycle'],[0.8871914148330688],"[[518, 275, 548, 317]]"
82,['motorcycle'],[0.9070853590965271],"[[518, 275, 548, 317]]"
83,['motorcycle'],[0.8929895162582397],"[[519, 274, 548, 317]]"
84,['motorcycle'],[0.8176319003105164],"[[519, 275, 548, 317]]"
85,['motorcycle'],[0.8282245397567749],"[[519, 275, 548, 317]]"
86,[],[],[]
87,[],[],[]
88,[],[],[]
89,[],[],[]
90,[],[],[]
91,[],[],[]
92,[],[],[]
93,[],[],[]
94,[],[],[]
95,[],[],[]
96,[],[],[]
97,[],[],[]
98,[],[],[]
99,[],[],[]
100,[],[],[]
101,[],[],[]
102,[],[],[]
103,[],[],[]
104,[],[],[]
105,[],[],[]
106,[],[],[]
107,[],[],[]
108,[],[],[]
109,[],[],[]
110,[],[],[]
111,[],[],[]
112,[],[],[]
113,[],[],[]
114,[],[],[]
115,[],[],[]
116,[],[],[]
117,['motorcycle'],[0.8463392853736877],"[[519, 270, 549, 319]]"
118,[],[],[]
119,[],[],[]
120,[],[],[]
121,[],[],[]
122,[],[],[]
123,[],[],[]
124,[],[],[]
125,[],[],[]
126,[],[],[]
127,[],[],[]
128,[],[],[]
129,[],[],[]
130,[],[],[]
131,[],[],[]
132,[],[],[]
133,[],[],[]
134,[],[],[]
135,[],[],[]
136,[],[],[]
137,[],[],[]
138,[],[],[]
139,['motorcycle'],[0.8441240191459656],"[[519, 272, 549, 319]]"
140,['motorcycle'],[0.8246311545372009],"[[519, 273, 549, 319]]"
141,['motorcycle'],[0.8655226826667786],"[[519, 272, 549, 319]]"
142,[],[],[]
143,[],[],[]
144,[],[],[]
145,[],[],[]
146,[],[],[]
147,[],[],[]
148,[],[],[]
149,[],[],[]
150,['car'],[0.7823811173439026],"[[316, 239, 407, 303]]"
151,['car'],[0.7918137907981873],"[[316, 239, 407, 303]]"
152,['car'],[0.7973803877830505],"[[316, 239, 407, 303]]"
153,[],[],[]
154,['car'],[0.7748012542724609],"[[316, 239, 407, 303]]"
155,['car'],[0.7813356518745422],"[[315, 239, 407, 303]]"
156,['car'],[0.7885866165161133],"[[316, 239, 407, 303]]"
157,['car'],[0.790161669254303],"[[316, 238, 407, 302]]"
158,['car'],[0.7852163314819336],"[[316, 239, 407, 302]]"
159,['car'],[0.7836595177650452],"[[315, 239, 407, 303]]"
160,['car'],[0.7901928424835205],"[[315, 239, 407, 303]]"
161,[],[],[]
162,['car'],[0.7670777440071106],"[[315, 239, 407, 303]]"
163,[],[],[]
164,[],[],[]
165,[],[],[]
166,[],[],[]
167,[],[],[]
168,['car'],[0.7774004340171814],"[[316, 238, 407, 303]]"
169,[],[],[]
170,[],[],[]
171,[],[],[]
172,[],[],[]
173,['motorcycle'],[0.8467521071434021],"[[519, 274, 548, 317]]"
174,['motorcycle'],[0.8632611632347107],"[[520, 273, 547, 317]]"
175,['motorcycle'],[0.7941406965255737],"[[519, 274, 548, 317]]"
176,[],[],[]
177,[],[],[]
178,[],[],[]
179,[],[],[]
180,[],[],[]
181,[],[],[]
182,[],[],[]
183,[],[],[]
184,[],[],[]
185,[],[],[]
186,[],[],[]
187,[],[],[]
188,[],[],[]
189,[],[],[]
190,[],[],[]
191,[],[],[]
192,[],[],[]
193,[],[],[]
194,[],[],[]
195,[],[],[]
196,[],[],[]
197,[],[],[]
198,[],[],[]
199,[],[],[]
200,[],[],[]
201,[],[],[]
202,[],[],[]
203,[],[],[]
204,[],[],[]
205,[],[],[]
206,[],[],[]
207,[],[],[]
208,[],[],[]
209,[],[],[]
210,[],[],[]
211,[],[],[]
212,[],[],[]
213,[],[],[]
214,[],[],[]
215,[],[],[]
216,[],[],[]
217,[],[],[]
218,[],[],[]
219,[],[],[]
220,[],[],[]
221,[],[],[]
222,[],[],[]
223,[],[],[]
224,[],[],[]
225,[],[],[]
226,[],[],[]
227,[],[],[]
228,[],[],[]
229,[],[],[]
230,[],[],[]
231,['motorcycle'],[0.8295767307281494],"[[516, 274, 548, 318]]"
232,[],[],[]
233,[],[],[]
234,[],[],[]
235,[],[],[]
236,[],[],[]
237,[],[],[]
238,['car'],[0.7773996591567993],"[[285, 240, 409, 308]]"
239,['car'],[0.8117506504058838],"[[281, 240, 409, 309]]"
240,['car'],[0.7762519121170044],"[[283, 240, 409, 309]]"
241,['car'],[0.755155086517334],"[[284, 240, 409, 309]]"
242,[],[],[]
243,[],[],[]
244,[],[],[]
245,[],[],[]
246,[],[],[]
247,[],[],[]
248,[],[],[]
249,[],[],[]
250,[],[],[]
251,[],[],[]
252,[],[],[]
253,[],[],[]
254,[],[],[]
255,[],[],[]
256,[],[],[]
257,[],[],[]
258,[],[],[]
259,[],[],[]
260,[],[],[]
261,[],[],[]
262,['motorcycle'],[0.8735014200210571],"[[519, 276, 549, 316]]"
263,['motorcycle'],[0.8522995710372925],"[[518, 276, 549, 316]]"
264,['motorcycle'],[0.8650929927825928],"[[519, 276, 549, 317]]"
265,[],[],[]
266,[],[],[]
267,[],[],[]
268,[],[],[]
269,[],[],[]
270,[],[],[]
271,[],[],[]
272,[],[],[]
273,[],[],[]
274,[],[],[]
275,[],[],[]
276,[],[],[]
277,[],[],[]
278,[],[],[]
279,[],[],[]
280,[],[],[]
281,[],[],[]
282,[],[],[]
283,[],[],[]
284,[],[],[]
285,[],[],[]
286,[],[],[]
287,[],[],[]
288,[],[],[]
289,[],[],[]
290,[],[],[]
291,[],[],[]
292,[],[],[]
293,['motorcycle'],[0.8277177214622498],"[[519, 272, 549, 318]]"
294,['motorcycle'],[0.8345348834991455],"[[519, 271, 549, 318]]"
295,['motorcycle'],[0.8643330335617065],"[[518, 271, 549, 318]]"
296,['motorcycle'],[0.8813158869743347],"[[518, 271, 548, 318]]"
297,['car'],[0.7644908428192139],"[[285, 238, 408, 303]]"
298,[],[],[]
299,['car'],[0.7690861821174622],"[[312, 239, 403, 303]]"
300,['car'],[0.7750392556190491],"[[308, 240, 403, 303]]"
301,[],[],[]
302,['car'],[0.8023030161857605],"[[307, 240, 404, 302]]"
303,['car'],[0.816182553768158],"[[306, 240, 404, 302]]"
304,['car'],[0.8283897638320923],"[[305, 240, 404, 302]]"
305,['car'],[0.8318310379981995],"[[303, 240, 404, 302]]"
306,['car'],[0.8226212859153748],"[[305, 240, 404, 302]]"
307,['car'],[0.8464896082878113],"[[308, 240, 404, 302]]"
308,['car'],[0.8592958450317383],"[[309, 240, 404, 302]]"
309,['car'],[0.849994957447052],"[[309, 240, 404, 302]]"
310,['car'],[0.8508379459381104],"[[310, 240, 404, 302]]"
311,['car'],[0.8468669056892395],"[[308, 240, 404, 302]]"
312,['car'],[0.8604452610015869],"[[310, 240, 405, 302]]"
313,['car'],[0.8569604754447937],"[[310, 240, 404, 302]]"
314,['car'],[0.8581077456474304],"[[310, 240, 404, 302]]"
315,['car'],[0.8551415205001831],"[[310, 240, 404, 302]]"
316,['car'],[0.8523805737495422],"[[310, 240, 404, 302]]"
317,['car'],[0.8548851609230042],"[[310, 240, 404, 302]]"
318,['car'],[0.853774905204773],"[[309, 240, 404, 302]]"
319,['car'],[0.8444309830665588],"[[310, 240, 405, 303]]"
320,['car'],[0.8151854276657104],"[[307, 240, 405, 303]]"
321,['car'],[0.8381737470626831],"[[308, 241, 405, 303]]"
322,['car'],[0.7747550010681152],"[[306, 240, 405, 305]]"
323,['car'],[0.8128424286842346],"[[305, 241, 406, 305]]"
324,['car'],[0.8306124210357666],"[[256, 241, 407, 306]]"
325,[],[],[]
326,[],[],[]
327,['car'],[0.7923210263252258],"[[322, 237, 409, 304]]"
328,[],[],[]
329,[],[],[]
330,[],[],[]
331,[],[],[]
332,[],[],[]
333,[],[],[]
334,[],[],[]
335,[],[],[]
336,[],[],[]
337,[],[],[]
338,[],[],[]
339,[],[],[]
340,[],[],[]
341,[],[],[]
342,[],[],[]
343,[],[],[]
344,[],[],[]
345,[],[],[]
346,[],[],[]
347,[],[],[]
348,[],[],[]
349,[],[],[]
350,[],[],[]
351,[],[],[]
352,[],[],[]
353,[],[],[]
354,[],[],[]
355,[],[],[]
356,[],[],[]
357,[],[],[]
358,[],[],[]
359,[],[],[]
360,[],[],[]
361,[],[],[]
362,[],[],[]
363,[],[],[]
364,[],[],[]
365,[],[],[]
366,[],[],[]
367,[],[],[]
368,[],[],[]
369,[],[],[]
370,[],[],[]
371,[],[],[]
372,[],[],[]
373,[],[],[]
374,[],[],[]
375,[],[],[]
376,[],[],[]
377,[],[],[]
378,[],[],[]
379,[],[],[]
380,[],[],[]
381,[],[],[]
382,[],[],[]
383,[],[],[]
384,[],[],[]
385,[],[],[]
386,[],[],[]
387,['car'],[0.8244951963424683],"[[319, 241, 410, 306]]"
388,[],[],[]
389,[],[],[]
390,[],[],[]
391,[],[],[]
392,[],[],[]
393,[],[],[]
394,[],[],[]
395,[],[],[]
396,[],[],[]
397,[],[],[]
398,[],[],[]
399,[],[],[]
400,[],[],[]
401,[],[],[]
402,[],[],[]
403,[],[],[]
404,[],[],[]
405,[],[],[]
406,[],[],[]
407,[],[],[]
408,[],[],[]
409,[],[],[]
410,[],[],[]
411,[],[],[]
412,[],[],[]
413,[],[],[]
414,[],[],[]
415,[],[],[]
416,[],[],[]
417,[],[],[]
418,['car'],[0.8880363702774048],"[[7, 339, 33, 369]]"
419,['car'],[0.888658881187439],"[[7, 338, 32, 368]]"
420,['car'],[0.8748387098312378],"[[7, 339, 33, 368]]"
421,['car'],[0.8921499252319336],"[[7, 340, 35, 369]]"
422,['car'],[0.8806470632553101],"[[7, 344, 35, 369]]"
423,['car'],[0.9065167903900146],"[[7, 344, 37, 369]]"
424,['car'],[0.872474730014801],"[[7, 342, 37, 371]]"
425,['car'],[0.9216942191123962],"[[8, 334, 38, 369]]"
426,['car'],[0.9186465740203857],"[[8, 335, 39, 369]]"
427,['car'],[0.9352895617485046],"[[8, 334, 41, 371]]"
428,['car'],[0.9344980120658875],"[[7, 333, 43, 370]]"
429,['car'],[0.9539676308631897],"[[7, 333, 44, 370]]"
430,['car'],[0.9473323225975037],"[[7, 332, 44, 371]]"
431,['car'],[0.956144392490387],"[[7, 332, 46, 372]]"
432,['car'],[0.9587610960006714],"[[7, 335, 47, 371]]"
433,['car'],[0.956072211265564],"[[8, 332, 49, 371]]"
434,['car'],[0.948650598526001],"[[8, 332, 50, 371]]"
435,['car'],[0.9581127762794495],"[[9, 334, 52, 374]]"
436,['car'],[0.9571728110313416],"[[8, 332, 53, 376]]"
437,['car'],[0.9489423632621765],"[[8, 333, 55, 376]]"
438,['car'],[0.9615351557731628],"[[9, 333, 57, 376]]"
439,['car'],[0.9665627479553223],"[[8, 333, 59, 376]]"
440,['car'],[0.9649033546447754],"[[9, 331, 61, 376]]"
441,['car'],[0.9697799682617188],"[[9, 332, 61, 375]]"
442,['car'],[0.9571375846862793],"[[9, 333, 63, 376]]"
443,['car'],[0.9634565711021423],"[[10, 332, 66, 377]]"
444,['car'],[0.9578829407691956],"[[11, 333, 69, 377]]"
445,['car'],[0.9435440897941589],"[[11, 333, 78, 377]]"
446,['car'],[0.9419788718223572],"[[10, 331, 78, 376]]"
447,"['car', 'car']","[0.914928138256073, 0.9664368629455566]","[[322, 239, 408, 303], [16, 331, 77, 376]]"
448,"['car', 'car', 'motorcycle']","[0.9449586272239685, 0.8033664226531982, 0.8602357506752014]","[[14, 331, 79, 377], [7, 366, 24, 399], [518, 273, 548, 319]]"
449,"['car', 'car', 'motorcycle']","[0.9094408750534058, 0.8175172805786133, 0.8524230718612671]","[[15, 331, 81, 377], [7, 364, 26, 400], [518, 273, 548, 319]]"
450,"['car', 'car', 'motorcycle']","[0.9498286247253418, 0.8613042235374451, 0.8694061040878296]","[[17, 330, 83, 377], [8, 366, 28, 400], [518, 273, 548, 319]]"
451,"['car', 'car', 'motorcycle', 'car']","[0.8586296439170837, 0.8979798555374146, 0.8707288503646851, 0.9033222198486328]","[[8, 365, 30, 401], [12, 331, 85, 377], [518, 273, 548, 319], [35, 329, 86, 368]]"
452,"['car', 'car', 'motorcycle']","[0.9653415679931641, 0.926403284072876, 0.8578476309776306]","[[23, 330, 88, 377], [8, 350, 33, 402], [518, 273, 548, 319]]"
453,"['car', 'car', 'motorcycle']","[0.9674126505851746, 0.9322859048843384, 0.8655409216880798]","[[17, 330, 92, 377], [8, 353, 35, 401], [518, 273, 548, 319]]"
454,"['car', 'car', 'motorcycle']","[0.9723187685012817, 0.9518773555755615, 0.8697555661201477]","[[19, 330, 93, 377], [8, 353, 37, 400], [518, 273, 548, 319]]"
455,"['car', 'car', 'car', 'motorcycle']","[0.776579737663269, 0.9580379724502563, 0.9516417384147644, 0.8523013591766357]","[[42, 329, 95, 368], [22, 331, 94, 378], [9, 353, 39, 400], [518, 273, 548, 319]]"
456,"['car', 'car', 'motorcycle', 'car']","[0.9434152245521545, 0.9481417536735535, 0.850906491279602, 0.8814489245414734]","[[21, 331, 97, 379], [9, 353, 42, 401], [518, 273, 548, 319], [35, 329, 99, 370]]"
457,"['car', 'car', 'motorcycle', 'car']","[0.9262468218803406, 0.9527612328529358, 0.8580411672592163, 0.9636858105659485]","[[18, 344, 74, 380], [9, 356, 44, 404], [518, 273, 549, 319], [35, 328, 101, 371]]"
458,"['car', 'car', 'motorcycle', 'car']","[0.900579035282135, 0.9395330548286438, 0.8122974634170532, 0.8894726634025574]","[[27, 329, 103, 380], [9, 355, 47, 404], [518, 273, 549, 319], [39, 327, 104, 372]]"
459,"['car', 'car']","[0.9633706212043762, 0.9504284858703613]","[[36, 328, 107, 378], [9, 350, 50, 406]]"
460,"['car', 'car', 'motorcycle']","[0.9663904309272766, 0.9648188948631287, 0.8608354330062866]","[[39, 328, 109, 377], [8, 348, 52, 408], [518, 273, 549, 320]]"
461,"['car', 'car', 'motorcycle']","[0.9709545969963074, 0.9666923880577087, 0.831451952457428]","[[43, 327, 113, 376], [9, 348, 55, 409], [518, 273, 549, 320]]"
462,"['car', 'car', 'motorcycle']","[0.9730397462844849, 0.9672722220420837, 0.8960756659507751]","[[45, 326, 117, 376], [8, 348, 58, 410], [518, 272, 549, 319]]"
463,"['car', 'car']","[0.9713407754898071, 0.9714549779891968]","[[48, 325, 120, 376], [7, 347, 63, 405]]"
464,"['car', 'car']","[0.971515417098999, 0.9703222513198853]","[[48, 325, 124, 377], [7, 347, 68, 412]]"
465,"['car', 'car']","[0.9718148112297058, 0.9735112190246582]","[[50, 325, 128, 377], [7, 347, 69, 413]]"
