Iteration;Confidence Score;x_min;y_min;x_max;y_max;Label
505;0.45447215;128;333;395;503;car
508;0.45956123;154;338;460;520;car
511;0.45859116;189;333;540;539;car
514;0.46368712;230;334;640;565;car
516;0.45181018;261;332;722;586;car
517;0.4506011;281;331;767;598;car
537;0.45519865;185;305;357;403;car
538;0.53728414;193;305;368;403;car
539;0.55084896;201;304;380;404;car
540;0.5448014;209;302;395;404;car
541;0.55229825;218;303;410;405;car
542;0.52000886;229;303;426;408;car
543;0.54891527;238;302;443;407;car
544;0.52962834;248;301;459;408;car
545;0.55278116;259;300;477;411;car
546;0.5474641;270;299;496;414;car
547;0.54383254;282;300;515;412;car
548;0.5389832;295;299;537;414;car
549;0.53315437;308;298;558;418;car
550;0.54383254;322;298;581;423;car
551;0.50768983;336;298;607;426;car
552;0.53801244;351;298;634;430;car
553;0.5397111;367;298;661;433;car
554;0.5387406;384;296;690;438;car
555;0.4926763;402;296;720;441;car
556;0.52000886;423;295;753;442;car
557;0.5043639;444;295;787;447;car
558;0.4970246;466;295;821;453;car
559;0.5046691;489;297;859;460;car
560;0.5122656;514;296;898;465;car
561;0.5211056;539;299;938;470;car
562;0.53509843;566;298;981;478;car
563;0.48767337;595;299;1024;478;car
564;0.5057981;627;301;1068;490;car
565;0.5097644;660;303;1115;495;car
566;0.4950563;694;305;1158;503;car
567;0.49794006;730;305;1205;519;car
568;0.49925998;771;310;1253;528;car
569;0.47536173;812;314;1301;537;car
570;0.47329202;855;318;1349;547;car
571;0.4632014;900;320;1397;558;car
572;0.45931864;946;327;1431;571;car
573;0.45398796;995;332;1431;581;car
574;0.47353554;1047;340;1432;565;car
575;0.50695753;1098;347;1432;556;car
576;0.48669744;1150;352;1431;559;car
578;0.4571367;1254;367;1432;572;car
641;0.48803937;7;284;216;444;truck
647;0.4622303;12;276;267;458;truck
648;0.4882224;10;272;275;459;truck
649;0.50744575;15;273;286;465;truck
650;0.4797474;21;272;296;466;truck
651;0.46733177;24;271;305;470;truck
652;0.47706684;29;270;316;470;truck
653;0.47110158;34;269;326;471;truck
654;0.48700243;35;267;338;472;truck
655;0.45447215;39;263;351;474;truck
656;0.4690338;41;261;364;477;truck
659;0.45931864;56;257;408;491;truck
661;0.47438765;67;253;442;499;truck
662;0.4901746;71;249;457;503;truck
663;0.4581063;80;246;478;506;truck
668;0.49090677;105;241;591;529;truck
670;0.46247303;121;237;642;542;truck
719;0.46915543;181;333;465;497;car
723;0.45640978;217;334;541;515;car
724;0.4549564;228;333;565;521;car
725;0.46563044;240;333;583;525;car
726;0.47511825;253;332;610;531;car
727;0.46392995;265;332;638;537;car
728;0.477676;277;333;669;545;car
729;0.45883366;292;332;698;554;car
730;0.48590457;307;332;731;562;car
731;0.48023492;323;330;764;570;car
732;0.4602889;338;329;802;578;car
733;0.48742944;356;332;856;589;car
734;0.4807224;375;331;880;600;car
735;0.48810035;395;335;922;612;car
736;0.4912119;417;340;967;621;car
737;0.45859116;443;338;1012;631;car
739;0.45665208;494;339;1108;657;car
756;0.48181957;123;344;338;482;car
757;0.4666025;130;345;352;485;car
759;0.4824291;144;346;380;491;car
760;0.47597066;150;347;395;496;car
761;0.5019989;157;349;407;499;car
762;0.5014496;166;349;426;503;car
763;0.5176928;174;349;444;507;car
764;0.4663595;184;351;464;512;car
765;0.5007553;192;350;482;516;car
766;0.4953004;202;349;503;521;car
767;0.49395782;212;351;524;527;car
768;0.5295067;224;348;549;533;car
769;0.48505086;235;348;574;539;car
770;0.48797837;246;347;599;546;car
771;0.50506574;259;351;627;553;car
772;0.49108985;272;355;655;560;car
773;0.49966618;285;349;687;568;car
774;0.47791964;301;351;719;576;car
775;0.47317034;316;356;755;586;car
776;0.4827949;334;356;791;595;car
777;0.49658206;351;360;831;608;car
778;0.50382984;370;361;870;619;car
779;0.47950366;392;362;913;631;car
780;0.491639;415;362;957;644;car
781;0.49108985;438;370;1003;655;car
782;0.47341377;463;372;1051;669;car
783;0.46441576;492;370;1100;683;car
784;0.47682324;522;381;1150;696;car
785;0.47682324;555;384;1205;712;car
786;0.47791964;588;387;1253;728;car
787;0.45907614;623;390;1305;743;car
788;0.47061494;662;393;1354;759;car
789;0.48755136;706;401;1415;772;car
790;0.45689437;750;405;1431;789;car
791;0.4508429;796;412;1430;803;car
793;0.4622303;898;432;1431;782;car
808;0.46344426;6;284;147;435;truck
814;0.46879062;7;285;177;440;truck
816;0.46465865;7;286;188;444;truck
818;0.46915543;7;279;201;446;truck
820;0.47256175;8;279;215;448;truck
822;0.4632014;8;273;228;448;truck
823;0.4559252;7;272;234;450;truck
826;0.4775542;8;268;258;456;truck
828;0.47122326;7;220;274;460;truck
830;0.50006676;7;217;298;464;truck
831;0.5218367;7;213;307;466;truck
832;0.5113506;7;211;317;468;truck
833;0.4882224;13;257;326;470;truck
834;0.47244006;8;205;340;473;truck
835;0.51409537;9;201;353;476;truck
836;0.4947817;10;197;366;478;truck
837;0.49246272;10;194;384;489;truck
838;0.50674397;11;192;394;491;truck
839;0.51903373;13;189;408;492;truck
840;0.5242729;15;183;422;494;truck
841;0.55012405;16;183;441;498;truck
842;0.50659144;16;180;461;500;truck
843;0.5229331;16;179;479;506;truck
844;0.5418937;22;179;498;510;truck
845;0.51952136;29;176;519;513;truck
846;0.5203745;29;174;541;522;truck
847;0.5520568;32;173;563;524;truck
848;0.5264645;35;166;587;533;truck
849;0.4827949;40;166;611;540;truck
850;0.4895035;47;154;641;546;truck
851;0.5044249;52;149;670;556;truck
852;0.49900052;58;144;699;566;truck
853;0.4807224;62;141;733;573;truck
